gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.003,8,3,3,10,2989341.0,0.0,5828400,2616237,0
0.003,8,4,3,10,0.0,0.0,6213897,5966818,0
0.003,8,5,3,10,517846.0,0.0,6243626,5484692,0
0.003,8,6,3,10,2990581.0,0.0,6334869,3103214,0
0.003,8,7,3,10,2464443.0,1993.0,6014382,3302881,0.0008087020069037912
0.003,8,8,3,10,0.0,0.0,5992090,5745307,0
0.003,8,9,3,10,2994834.0,0.0,5851826,2615921,0
0.003,9,0,3,10,421973.0,2010.3333333333333,5852599,5183677,0.004764127878639945
0.003,9,1,3,10,2983384.0,3017.0,5962031,2743208,0.0010112677415981316
0.003,9,2,3,10,2983057.0,0.0,6267923,3037843,0
0.003,9,3,3,10,2555422.0,0.0,6111335,3314656,0
0.003,9,4,3,10,18195.0,6062.0,5960803,5695458,0.333168452871668
0.003,9,5,3,10,2886860.0,0.0,6147689,3013750,0
0.003,9,6,3,10,2994257.0,0.0,6001081,2772191,0
0.003,9,7,3,10,102440.0,0.0,5901271,5551287,0
0.003,9,8,3,10,0.0,0.0,6062327,5821570,0
0.003,9,9,3,10,2984081.0,0.0,6323095,3091994,0
0.003,10,0,3,10,96319.0,0.0,6146772,5803159,0
0.003,10,1,3,10,2989042.0,0.0,6062225,2832432,0
0.003,10,2,3,10,2989434.0,0.0,6221188,2990705,0
0.003,10,3,3,10,2880501.0,0.0,5912073,2796617,0
0.003,10,4,3,10,0.0,0.0,6116155,5875037,0
0.003,10,5,3,10,2983182.0,2001.0,5983872,2753750,0.0006707602821416863
0.003,10,6,3,10,2991299.0,0.0,6010243,2777996,0
0.003,10,7,3,10,0.0,0.0,6171943,5924919,0
0.003,10,8,3,10,0.0,0.0,6260843,6019920,0
0.003,10,9,3,10,2989122.0,0.0,6375648,3139318,0
0.003,11,0,3,10,1030303.0,0.0,5973003,4701878,0
0.003,11,1,3,10,2982483.0,0.0,6345074,3121544,0
0.003,11,2,3,10,2990295.0,0.0,6287252,3050089,0
0.003,11,3,3,10,1947195.0,0.0,5828170,3634253,0
0.003,11,4,3,10,0.0,0.0,6230814,5989514,0
0.003,11,5,3,10,2928604.0,0.0,6141251,2965588,0
0.003,11,6,3,10,2988582.0,0.0,6007083,2777688,0
0.003,11,7,3,10,54207.0,0.0,5946558,5651295,0
0.003,11,8,3,10,12051.0,4520.25,5540890,5282022,0.37509335324869303
0.003,11,9,3,10,2995610.0,0.0,6110815,2880158,0
0.003,12,0,3,10,0.0,0.0,5905367,5664404,0
0.003,12,1,3,10,2988642.0,0.0,6025562,2801635,0
0.003,12,2,3,10,2977549.0,0.0,6002841,2778248,0
0.003,12,3,3,10,2989472.0,0.0,5905522,2668642,0
0.003,12,4,3,10,6057.0,1514.25,6019006,5765811,0.25
0.003,12,5,3,10,0.0,0.0,6072842,5831987,0
0.003,12,6,3,10,2990221.0,0.0,6347341,3116163,0
0.003,12,7,3,10,2983262.0,4007.333333333333,5592971,2362639,0.0013432723419308573
0.003,12,8,3,10,0.0,0.0,5973989,5726914,0
0.003,12,9,3,10,2978137.0,0.0,5926193,2707158,0
0.003,13,0,3,10,6070.0,0.0,6383193,6130052,0
0.003,13,1,3,10,2988992.0,0.0,6037657,2807820,0
0.003,13,2,3,10,2976683.0,0.0,5815317,2597752,0
0.003,13,3,3,10,2983632.0,0.0,5707438,2482743,0
0.003,13,4,3,10,12057.0,1509.5000000000002,6322990,6063832,0.12519698100688398
0.003,13,5,3,10,1030607.0,0.0,5863754,4598202,0
0.003,13,6,3,10,2989635.0,0.0,5918126,2681338,0
0.003,13,7,3,10,1952012.0,4040.0,5839974,3641194,0.002069659407831509
0.003,13,8,3,10,12004.0,6028.000000000001,6017031,5763761,0.502165944685105
0.003,13,9,3,10,2976158.0,0.0,6170681,2947222,0
0.003,14,0,3,10,12055.0,2009.6666666666665,5964866,5711691,0.166708143232407
0.003,14,1,3,10,2983826.0,0.0,6329223,3104283,0
0.003,14,2,3,10,2982601.0,0.0,5984657,2755119,0
0.003,14,3,3,10,2982637.0,0.0,5862569,2638690,0
0.003,14,4,3,10,0.0,0.0,6154821,5913378,0
0.003,14,5,3,10,1748096.0,0.0,6107086,4117667,0
0.003,14,6,3,10,2988717.0,0.0,5983578,2747714,0
0.003,14,7,3,10,1236327.0,1996.0,6279981,4814583,0.0016144596049427053
0.003,14,8,3,10,0.0,0.0,6302819,6061630,0
0.003,14,9,3,10,2995442.0,0.0,5858645,2628029,0
0.003,15,0,3,10,0.0,0.0,5942035,5701003,0
0.003,15,1,3,10,2995069.0,0.0,6038489,2802293,0
0.003,15,2,3,10,2977598.0,0.0,6021788,2796982,0
0.003,15,3,3,10,2989198.0,0.0,5942957,2718833,0
0.003,15,4,3,10,12061.0,4539.75,6001299,5742335,0.37639913771660727
0.003,15,5,3,10,0.0,0.0,5682725,5441678,0
0.003,15,6,3,10,2989966.0,0.0,5828035,2602873,0
0.003,15,7,3,10,2977192.0,0.0,6243815,3037668,0
0.003,15,8,3,10,0.0,0.0,6135348,5894315,0
0.003,15,9,3,10,2987864.0,0.0,6187802,2965010,0
0.003,16,0,3,10,156535.0,2004.3333333333335,5821784,5424346,0.012804378147592126
0.003,16,1,3,10,2983015.0,0.0,5929006,2698798,0
