transmitting,holding,state,prob,rate
1,0,t,0.0007610979765192916,500
1,1,t,0.0007461744867835972,500
1,2,t,0.0007315436144937233,500
1,3,t,0.0007171996220526544,500
1,4,t,0.0007031368843653423,500
1,5,t,0.0006893498866326741,500
1,6,t,0.000675833222188886,500
1,7,t,0.000662581590381238,500
1,8,t,0.0006495897944914105,500
1,9,t,0.0006368527396974502,500
1,10,t,0.031842636984871976,500
2,0,c,0.000369393310288936,500
2,1,c,0.0003621503042049515,500
2,2,c,0.00035504931784793164,500
2,3,c,0.00034808756651753814,500
2,4,c,0.00034126232011534585,500
2,5,c,0.00033457090207385243,500
2,6,c,0.00032801068830762975,500
2,7,c,0.0003215791061841125,500
2,8,c,0.00031527363351366994,500
2,9,c,0.0003090917975623886,500
2,10,c,0.015454589878123298,500
3,0,c,0.00036215030420468607,500
3,1,c,0.0003550493178478883,500
3,2,c,0.00034808756651757804,500
3,3,c,0.0003412623201152973,500
3,4,c,0.00033457090207379,500
3,5,c,0.00032801068830762975,500
3,6,c,0.0003215791061838211,500
3,7,c,0.00031527363351362137,500
3,8,c,0.0003090917975623608,500
3,9,c,0.00030303117408070346,500
3,10,c,0.015151558704036089,500
4,0,c,0.0003550493178479039,500
4,1,c,0.00034808756651744533,500
4,2,c,0.0003412623201151047,500
4,3,c,0.00033457090207378217,500
4,4,c,0.0003280106883075534,500
4,5,c,0.0003215791061839772,500
4,6,c,0.0003152736335137775,500
4,7,c,0.00030909179756246057,500
4,8,c,0.00030303117408085264,500
4,9,c,0.00029708938635380697,500
4,10,c,0.014854469317691927,500
5,0,c,0.00034808756651765263,500
5,1,c,0.00034126232011531376,500
5,2,c,0.00033457090207388365,500
5,3,c,0.0003280106883076627,500
5,4,c,0.0003215791061840362,500
5,5,c,0.000315273633513663,500
5,6,c,0.0003090917975624146,500
5,7,c,0.000303031174080811,500
5,8,c,0.00029708938635374105,500
5,9,c,0.00029126410426836245,500
5,10,c,0.014563205213419854,500
6,0,c,0.00034126232011516154,500
6,1,c,0.0003345709020736785,500
6,2,c,0.00032801068830757944,500
6,3,c,0.000321579106183828,500
6,4,c,0.0003152736335135932,500
6,5,c,0.0003090917975623053,500
6,6,c,0.00030303117408070866,500
6,7,c,0.00029708938635364564,500
6,8,c,0.0002912641042683156,500
6,9,c,0.0002855530434003211,500
6,10,c,0.014277652170013073,500
7,0,c,0.0003345709020737488,500
7,1,c,0.00032801068830764363,500
7,2,c,0.0003215791061837586,500
7,3,c,0.0003152736335135885,500
7,4,c,0.00030909179756230185,500
7,5,c,0.0003030311740807659,500
7,6,c,0.00029708938635365084,500
7,7,c,0.00029126410426833123,500
7,8,c,0.00028555304340042303,500
7,9,c,0.0002799539641180496,500
7,10,c,0.013997698205902591,500
8,0,c,0.00032801068830758676,500
8,1,c,0.0003215791061838627,500
8,2,c,0.00031527363351366994,500
8,3,c,0.0003090917975622845,500
8,4,c,0.0003030311740808249,500
8,5,c,0.0002970893863537549,500
8,6,c,0.0002912641042683308,500
8,7,c,0.00028555304340038487,500
8,8,c,0.00027995396411792384,500
8,9,c,0.0002744646707038339,500
8,10,c,0.013723233535193197,500
9,0,c,0.00032157910618385577,500
9,1,c,0.00031527363351367774,500
9,2,c,0.00030909179756235736,500
9,3,c,0.00030303117408071213,500
9,4,c,0.00029708938635355023,500
9,5,c,0.0002912641042683087,500
9,6,c,0.00028555304340033977,500
9,7,c,0.0002799539641178987,500
9,8,c,0.0002744646707037099,500
9,9,c,0.0002690830104938634,500
9,10,c,0.013454150524694014,500
10,0,c,0.016078955309195602,500
10,1,c,0.015763681675681963,500
10,2,c,0.015454589878119533,500
10,3,c,0.015151558704038781,500
10,4,c,0.014854469317685068,500
10,5,c,0.014563205213416714,500
10,6,c,0.014277652170016423,500
10,7,c,0.013997698205898393,500
10,8,c,0.01372323353519455,500
10,9,c,0.013454150524700559,500
10,10,c,0.6727075262350293,500
1,0,t,0.0011745424450276478,400
1,1,t,0.001145895068319682,400
1,2,t,0.001117946408116785,400
1,3,t,0.001090679422552972,400
1,4,t,0.0010640774854175751,400
1,5,t,0.0010381243760171671,400
1,6,t,0.0010128042692850447,400
1,7,t,0.0009881017261317787,400
1,8,t,0.0009640016840310401,400
1,9,t,0.000940489447835164,400
1,10,t,0.03761957791340799,400
2,0,c,0.0005658741078121282,400
2,1,c,0.0005520723003044417,400
2,2,c,0.0005386071222482566,400
2,3,c,0.0005254703631689464,400
2,4,c,0.0005126540128478491,400
2,5,c,0.0005001502564366753,400
2,6,c,0.0004879514696945267,400
2,7,c,0.00047605021433603373,400
2,8,c,0.00046443923349853006,400
2,9,c,0.0004531114473156281,400
2,10,c,0.01812445789262518,400
3,0,c,0.0005520723003045471,400
3,1,c,0.0005386071222483659,400
3,2,c,0.0005254703631690644,400
3,3,c,0.0005126540128478838,400
3,4,c,0.0005001502564369736,400
3,5,c,0.0004879514696946169,400
3,6,c,0.0004760502143362072,400
3,7,c,0.0004644392334987729,400
3,8,c,0.0004531114473158432,400
3,9,c,0.0004420599486007967,400
3,10,c,0.017682397944029635,400
4,0,c,0.0005386071222483113,400
4,1,c,0.0005254703631690782,400
4,2,c,0.0005126540128478699,400
4,3,c,0.0005001502564369606,400
4,4,c,0.0004879514696945232,400
4,5,c,0.0004760502143362211,400
4,6,c,0.00046443923349866884,400
4,7,c,0.0004531114473158024,400
4,8,c,0.0004420599486007655,400
4,9,c,0.00043127799863489427,400
4,10,c,0.017251119945396166,400
5,0,c,0.0005254703631691893,400
5,1,c,0.0005126540128480078,400
5,2,c,0.0005001502564371263,400
5,3,c,0.0004879514696946889,400
5,4,c,0.0004760502143362419,400
5,5,c,0.00046443923349871047,400
5,6,c,0.0004531114473158727,400
5,7,c,0.0004420599486008002,400
5,8,c,0.00043127799863489774,400
5,9,c,0.0004207590230584507,400
5,10,c,0.0168303609223374,400
6,0,c,0.000512654012847956,400
6,1,c,0.000500150256436991,400
6,2,c,0.0004879514696945631,400
6,3,c,0.0004760502143362072,400
6,4,c,0.0004644392334987029,400
6,5,c,0.0004531114473158501,400
6,6,c,0.0004420599486008592,400
6,7,c,0.0004312779986350001,400
6,8,c,0.00042075902305849233,400
6,9,c,0.00041049660786195066,400
6,10,c,0.0164198643144797,400
7,0,c,0.0005001502564369719,400
7,1,c,0.0004879514696945913,400
7,2,c,0.00047605021433611006,400
7,3,c,0.00046443923349867014,400
7,4,c,0.00045311144731578074,400
7,5,c,0.00044205994860080627,400
7,6,c,0.00043127799863492897,400
7,7,c,0.00042075902305844896,400
7,8,c,0.0004104966078619307,400
7,9,c,0.00040048449547503383,400
7,10,c,0.016019379819001846,400
8,0,c,0.00048795146969463825,400
8,1,c,0.0004760502143362766,400
8,2,c,0.0004644392334987729,400
8,3,c,0.0004531114473159126,400
8,4,c,0.0004420599486009355,400
8,5,c,0.0004312779986350712,400
8,6,c,0.00042075902305857907,400
8,7,c,0.0004104966078620452,400
8,8,c,0.00040048449547518475,400
8,9,c,0.00039071658095139695,400
8,10,c,0.015628663238054893,400
9,0,c,0.0004760502143362211,400
9,1,c,0.00046443923349871914,400
9,2,c,0.0004531114473158085,400
9,3,c,0.0004420599486008349,400
9,4,c,0.0004312779986349394,400
9,5,c,0.0004207590230584958,400
9,6,c,0.0004104966078619654,400
9,7,c,0.0004004844954751052,400
9,8,c,0.00039071658095135575,400
9,9,c,0.00038118690824523373,400
9,10,c,0.015247476329809455,400
10,0,c,0.019042008573448684,400
10,1,c,0.01857756933994994,400
10,2,c,0.018124457892634067,400
10,3,c,0.01768239794403325,400
10,4,c,0.017251119945398265,400
10,5,c,0.01683036092233976,400
10,6,c,0.016419864314477794,400
10,7,c,0.01601937981900273,400
10,8,c,0.015628663238051427,400
10,9,c,0.015247476329806327,400
10,10,c,0.6098990531922541,400
1,0,t,0.0020453989142620167,300
1,1,t,0.0019794183041245287,300
1,2,t,0.001915566100765658,300
1,3,t,0.0018537736459022722,300
1,4,t,0.0017939744960344386,300
1,5,t,0.0017361043510010976,300
1,6,t,0.0016801009848397405,300
1,7,t,0.0016259041788771874,300
1,8,t,0.0015734556569778919,300
1,9,t,0.001522699022881862,300
1,10,t,0.045680970686455026,300
2,0,c,0.0009734844118644698,300
2,1,c,0.0009420816889010586,300
2,2,c,0.0009116919570009846,300
2,3,c,0.0008822825390332953,300
2,4,c,0.0008538218119676297,300
2,5,c,0.000826279172871966,300
2,6,c,0.0007996250060049725,300
2,7,c,0.0007738306509725915,300
2,8,c,0.000748868371908927,300
2,9,c,0.0007247113276537265,300
2,10,c,0.021741339829613945,300
3,0,c,0.0009420816889012026,300
3,1,c,0.0009116919570011043,300
3,2,c,0.0008822825390332883,300
3,3,c,0.0008538218119675811,300
3,4,c,0.0008262791728719798,300
3,5,c,0.0007996250060051252,300
3,6,c,0.0007738306509727927,300
3,7,c,0.0007488683719091699,300
3,8,c,0.0007247113276540595,300
3,9,c,0.0007013335428910569,300
3,10,c,0.02104000628673284,300
4,0,c,0.000911691957001165,300
4,1,c,0.0008822825390334462,300
