gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.007,0,3,3,10,1289491.0,4038.0,2609124,1078702,0.0031314681529378647
0.007,0,4,3,10,96500.0,24098.75,2693191,2355419,0.2497279792746114
0.007,0,5,3,10,1880078.0,2007.3333333333333,2344112,349367,0.0010676861988350129
0.007,0,6,3,10,2670549.0,0.0,2676587,0,0
0.007,0,7,3,10,1367838.0,78343.66666666667,2453084,844103,0.05727554481354274
0.007,0,8,3,10,228917.0,42192.0,2482594,2012678,0.18431134428635707
0.007,0,9,3,10,2832748.0,0.0,2850788,0,0
0.007,1,0,3,10,2423640.0,138665.0,2520083,0,0.05721353006222046
0.007,1,1,3,10,2476769.0,3035.9999999999995,2488805,0,0.001225790535976508
0.007,1,2,3,10,2645211.0,0.0,2657304,0,0
0.007,1,3,3,10,729772.0,0.0,2623635,1652666,0
0.007,1,4,3,10,96409.0,28621.5,2525176,2187494,0.29687581034965616
0.007,1,5,3,10,2512642.0,0.0,2771692,36041,0
0.007,1,6,3,10,2651462.0,0.0,2657497,0,0
0.007,1,7,3,10,644767.0,88238.66666666667,2560915,1668936,0.13685357139349047
0.007,1,8,3,10,343646.0,63309.25000000001,2590330,2005884,0.18422810101092404
0.007,1,9,3,10,2439952.0,0.0,2452019,0,0
0.008,0,0,4,10,2874909.0,293077.3333333333,3121736,186533,0.10194316875189209
0.008,0,1,4,10,2730398.0,6011.0,2730398,0,0.002201510549011536
0.008,0,2,4,10,3205977.0,0.0,3230080,0,0
0.008,0,3,4,10,1826225.0,2021.6666666666667,3013853,946534,0.0011070194892013124
0.008,0,4,4,10,602644.0,131057.25,2857081,2013387,0.21747043030379462
0.008,0,5,4,10,2169441.0,1997.0,2845044,639442,0.000920513625399354
0.008,0,6,4,10,3146990.0,0.0,3195162,0,0
0.008,0,7,4,10,2224666.0,201038.66666666666,3098980,633158,0.0903680222858922
0.008,0,8,4,10,699101.0,155180.5,3108829,2169001,0.22197150340222657
0.008,0,9,4,10,3067872.0,0.0,3067872,0,0
0.008,1,0,4,10,2488760.0,214905.99999999997,2856460,138614,0.08635063244346582
0.008,1,1,4,10,2741930.0,0.0,2772124,0,0
0.008,1,2,4,10,3019866.0,0.0,3019866,0,0
0.008,1,3,4,10,2041987.0,0.0,2988699,760078,0
0.008,1,4,4,10,692991.0,144592.25,2941734,2007460,0.20864953513104786
0.008,1,5,4,10,2152671.0,0.0,3003029,609011,0
0.008,1,6,4,10,2850554.0,0.0,2862663,0,0
0.008,1,7,4,10,2421970.0,200816.0,3012587,409816,0.0829143218124089
0.008,1,8,4,10,1030466.0,203373.0,3109596,1837965,0.19736022343289347
0.008,1,9,4,10,2988971.0,0.0,2995011,0,0
0.009,0,0,4,10,2434682.0,247041.6666666667,2729924,247049,0.1014677344584084
0.009,0,1,4,10,2675484.0,6044.5,2675484,0,0.002259217397674589
0.009,0,2,4,10,2555441.0,3019.5,2561467,0,0.001181596444605843
0.009,0,3,4,10,2104364.0,4017.0,2701390,470320,0.0019088902870415955
0.009,0,4,4,10,1018083.0,228916.0,2549085,1283832,0.2248500367848201
0.009,0,5,4,10,2139127.0,1997.6666666666667,2723329,343314,0.0009338700631924457
0.009,0,6,4,10,2827595.0,0.0,2827595,0,0
0.009,0,7,4,10,2465235.0,279368.6666666667,2549346,24209,0.11332334104727
0.009,0,8,4,10,891642.0,191277.0,2590403,1481508,0.2145221961280424
0.009,0,9,4,10,2663363.0,0.0,2663363,0,0
0.009,1,0,4,10,2537471.0,232985.0,2742280,30124,0.09181779811473707
0.009,1,1,4,10,2808899.0,0.0,2826940,0,0
0.009,1,2,4,10,2766575.0,0.0,2766575,0,0
0.009,1,3,4,10,2043119.0,4014.666666666667,2500910,361305,0.001964969571849054
0.009,1,4,4,10,988027.0,212365.75,2662931,1452065,0.21493921724811163
0.009,1,5,4,10,2078759.0,6025.333333333333,2711743,403818,0.002898524231685026
0.009,1,6,4,10,2729621.0,0.0,2747764,0,0
0.009,1,7,4,10,2562404.0,227201.33333333334,2568509,0,0.08866725673755323
0.009,1,8,4,10,963475.0,209256.75,2409624,1205457,0.21718960014530736
0.009,1,9,4,10,2687475.0,0.0,2687475,0,0
0.01,0,0,5,10,2839092.0,303253.6666666666,2863240,0,0.10681361036087124
0.01,0,1,5,10,2970984.0,18059.0,2995095,0,0.006078457507680957
0.01,0,2,5,10,2910043.0,6020.000000000001,2910043,0,0.0020686979539477597
0.01,0,3,5,10,2790467.0,18104.333333333332,2802565,0,0.006487922391962827
0.01,0,4,5,10,1741961.0,432510.25,3073742,1096733,0.248289284318076
0.01,0,5,5,10,2567176.0,30155.666666666664,3043112,253054,0.011746630019393554
0.01,0,6,5,10,3051253.0,0.0,3057235,0,0
0.01,0,7,5,10,2850345.0,289115.6666666667,2892542,0,0.10143181497912242
0.01,0,8,5,10,1519458.0,390516.25000000006,2845251,1078739,0.25701022996357914
0.01,0,9,5,10,2947741.0,0.0,2947741,0,0
0.01,1,0,5,10,2819465.0,315334.3333333333,3006045,42254,0.11184190381272097
0.01,1,1,5,10,2946858.0,6015.0,2952876,0,0.0020411570560916067
0.01,1,2,5,10,3069248.0,3025.4999999999995,3075328,0,0.0009857463456846758
0.01,1,3,5,10,2813827.0,16078.333333333332,2976845,18181,0.005714044727459553
0.01,1,4,5,10,1428301.0,329896.75,3122129,1476769,0.23097144789508653
0.01,1,5,5,10,2530564.0,22014.000000000004,2855845,144610,0.00869924649208635
0.01,1,6,5,10,2989216.0,0.0,3001305,0,0
0.01,1,7,5,10,2989267.0,301312.6666666667,3019416,0,0.1007981778364618
0.01,1,8,5,10,1463199.0,343295.5,3313886,1609849,0.23461982956521976
0.01,1,9,5,10,3115126.0,0.0,3115126,0,0
0.012,0,0,6,10,2856656.0,285419.6666666667,2856656,0,0.09991390866336958
0.012,0,1,6,10,3139992.0,42229.0,3139992,0,0.013448760379007335
0.012,0,2,6,10,2904452.0,24191.0,2916506,0,0.008328937782411278
0.012,0,3,6,10,3219294.0,40099.0,3243504,0,0.012455836590258609
0.012,0,4,6,10,2749040.0,839378.2500000001,2803246,0,0.3053350442336234
0.012,0,5,6,10,2825867.0,64337.33333333333,2837899,0,0.02276728994440762
0.012,0,6,6,10,3152201.0,0.0,3152201,0,0
0.012,0,7,6,10,3031806.0,319392.6666666666,3043808,0,0.10534732983135024
0.012,0,8,6,10,2393371.0,730967.5,3068826,536922,0.3054133688425238
0.012,0,9,6,10,2940310.0,0.0,2940310,0,0
0.012,1,0,6,10,3018783.0,329482.3333333333,3018783,0,0.10914409327644065
0.012,1,1,6,10,2735734.0,39134.0,2735734,0,0.014304753313004846
0.012,1,2,6,10,2917496.0,27078.0,2917496,0,0.009281246658093104
0.012,1,3,6,10,2934082.0,84374.33333333334,2946123,0,0.02875663779449018
0.012,1,4,6,10,2694373.0,827396.25,2880965,114310,0.30708303935646625
0.012,1,5,6,10,2789789.0,72303.0,2801790,0,0.025917013795666983
0.012,1,6,6,10,2964680.0,0.0,2964680,0,0
0.012,1,7,6,10,3013438.0,289421.6666666667,3013438,0,0.09604367724395414
0.012,1,8,6,10,2916924.0,879899.4999999999,3067343,0,0.3016532141392782
